"Domain","Profile","Primed","Iteration","Prompt","Response","Lexical_Similarity","Semantic_Similarity","Syntactic_Similarity","Positional_Similarity"
"X1","A","Yes","1","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","1","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","1","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","1","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","1","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","2","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","2","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","2","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","2","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","2","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","3","Which stack should we choose for a scalable web service?","Employ Kubernetes autoscaling for scalability.","0.47","0.49","1.00","1.00"
"X1","A","Yes","3","How do we harden access for remote employees securely?","Secure access using MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","3","What database fits low-latency reads at large scale?","Select AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","3","When should we use queues versus pub/sub?","Adopt queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","3","Could you outline a rollback plan for failed deploys?","Perform blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","4","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","4","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","4","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","4","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","4","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","5","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","5","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","5","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","5","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","5","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","6","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","6","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","6","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","6","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","6","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","7","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","7","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","7","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","7","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","7","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","8","Which stack should we choose for a scalable web service?","Employ Kubernetes autoscaling for scalability.","0.47","0.49","1.00","1.00"
"X1","A","Yes","8","How do we harden access for remote employees securely?","Secure access using MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","8","What database fits low-latency reads at large scale?","Select AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","8","When should we use queues versus pub/sub?","Adopt queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","8","Could you outline a rollback plan for failed deploys?","Perform blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","9","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","9","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","9","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","9","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","9","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","10","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","10","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","10","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","10","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","10","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","1","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","1","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","1","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","1","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","1","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","2","Which stack should we choose for a scalable web service?","Use Kubernetes autoscaling for scale.","0.47","0.49","1.00","1.00"
"X1","A","Yes","2","How do we harden access for remote employees securely?","Protect access with MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","2","What database fits low-latency reads at large scale?","Choose AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","2","When should we use queues versus pub/sub?","Use queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","2","Could you outline a rollback plan for failed deploys?","Do blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
"X1","A","Yes","3","Which stack should we choose for a scalable web service?","Employ Kubernetes autoscaling for scalability.","0.47","0.49","1.00","1.00"
"X1","A","Yes","3","How do we harden access for remote employees securely?","Secure access using MFA everywhere.","0.75","0.87","1.00","1.00"
"X1","A","Yes","3","What database fits low-latency reads at large scale?","Select AWS DynamoDB global tables.","0.46","0.41","1.00","1.00"
"X1","A","Yes","3","When should we use queues versus pub/sub?","Adopt queues for backpressure handling.","0.73","0.85","1.00","1.00"
"X1","A","Yes","3","Could you outline a rollback plan for failed deploys?","Perform blue-green deploys with canaries.","0.75","0.87","1.00","1.00"
